"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "SQL", "JSON", "Markdown", "YAML", "HTML", "JSON with Comments", "XML", "comment", "blank", "total"
"/Users/kenny/Desktop/Haleys-Hope/src/components/AddTests/AddSecondaryWist.jsx", "JavaScript JSX", 0, 449, 0, 0, 0, 0, 0, 0, 0, 0, 38, 28, 515
"/Users/kenny/Desktop/Haleys-Hope/src/components/AddTests/AddYoungerCtopp.jsx", "JavaScript JSX", 0, 397, 0, 0, 0, 0, 0, 0, 0, 0, 28, 23, 448
"/Users/kenny/Desktop/Haleys-Hope/src/components/App/App.css", "CSS", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 62, 16, 134
"/Users/kenny/Desktop/Haleys-Hope/src/components/App/App.jsx", "JavaScript JSX", 0, 191, 0, 0, 0, 0, 0, 0, 0, 0, 19, 16, 226
"/Users/kenny/Desktop/Haleys-Hope/src/components/ArchivedStudentList/ArchivedStudentList.jsx", "JavaScript JSX", 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 127
"/Users/kenny/Desktop/Haleys-Hope/src/components/AssessmentComponents/AssessmentContainer.jsx", "JavaScript JSX", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 38
"/Users/kenny/Desktop/Haleys-Hope/src/components/AssessmentComponents/AssessmentCtoppE.jsx", "JavaScript JSX", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 89
"/Users/kenny/Desktop/Haleys-Hope/src/components/AssessmentComponents/AssessmentCtoppS.jsx", "JavaScript JSX", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 89
"/Users/kenny/Desktop/Haleys-Hope/src/components/AssessmentComponents/AssessmentGort.jsx", "JavaScript JSX", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 64
"/Users/kenny/Desktop/Haleys-Hope/src/components/AssessmentComponents/AssessmentWistE.jsx", "JavaScript JSX", 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 100
"/Users/kenny/Desktop/Haleys-Hope/src/components/AssessmentComponents/AssessmentWistS.jsx", "JavaScript JSX", 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 99
"/Users/kenny/Desktop/Haleys-Hope/src/components/AssessmentResults/AssessmentResults.jsx", "JavaScript JSX", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 91
"/Users/kenny/Desktop/Haleys-Hope/src/components/Cards/MiniStudentCard.jsx", "JavaScript JSX", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 13, 6, 94
"/Users/kenny/Desktop/Haleys-Hope/src/components/Cards/StudentCard.css", "CSS", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 1, 6
"/Users/kenny/Desktop/Haleys-Hope/src/components/Cards/StudentCard.jsx", "JavaScript JSX", 0, 347, 0, 0, 0, 0, 0, 0, 0, 0, 24, 36, 407
"/Users/kenny/Desktop/Haleys-Hope/src/components/Cloudinary/CloudinaryUploadForm.jsx", "JavaScript JSX", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 61
"/Users/kenny/Desktop/Haleys-Hope/src/components/CoachList/CoachList.jsx", "JavaScript JSX", 0, 377, 0, 0, 0, 0, 0, 0, 0, 0, 15, 29, 421
"/Users/kenny/Desktop/Haleys-Hope/src/components/CtoppLists/OlderCtoppList.jsx", "JavaScript JSX", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 46
"/Users/kenny/Desktop/Haleys-Hope/src/components/CtoppLists/YoungerCtoppList.jsx", "JavaScript JSX", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 44
"/Users/kenny/Desktop/Haleys-Hope/src/components/EditTests/EditElementaryWistResults.jsx", "JavaScript JSX", 0, 468, 0, 0, 0, 0, 0, 0, 0, 0, 38, 25, 531
"/Users/kenny/Desktop/Haleys-Hope/src/components/EditTests/EditGortResults.jsx", "JavaScript JSX", 0, 388, 0, 0, 0, 0, 0, 0, 0, 0, 28, 35, 451
"/Users/kenny/Desktop/Haleys-Hope/src/components/EditTests/EditKteaResults.jsx", "JavaScript JSX", 0, 256, 0, 0, 0, 0, 0, 0, 0, 0, 21, 28, 305
"/Users/kenny/Desktop/Haleys-Hope/src/components/EditTests/EditOlderCtoppResults.jsx", "JavaScript JSX", 0, 419, 0, 0, 0, 0, 0, 0, 0, 0, 32, 20, 471
"/Users/kenny/Desktop/Haleys-Hope/src/components/EditTests/EditSecondaryWistResults.jsx", "JavaScript JSX", 0, 473, 0, 0, 0, 0, 0, 0, 0, 0, 38, 24, 535
"/Users/kenny/Desktop/Haleys-Hope/src/components/EditTests/EditYoungerCtoppResults.jsx", "JavaScript JSX", 0, 435, 0, 0, 0, 0, 0, 0, 0, 0, 34, 20, 489
"/Users/kenny/Desktop/Haleys-Hope/src/components/Footer/Footer.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 6
"/Users/kenny/Desktop/Haleys-Hope/src/components/Footer/Footer.jsx", "JavaScript JSX", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 14
"/Users/kenny/Desktop/Haleys-Hope/src/components/Forms/StudentForm.jsx", "JavaScript JSX", 0, 277, 0, 0, 0, 0, 0, 0, 0, 0, 17, 14, 308
"/Users/kenny/Desktop/Haleys-Hope/src/components/GortList/GortList.jsx", "JavaScript JSX", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 77
"/Users/kenny/Desktop/Haleys-Hope/src/components/Graph/CombinedGraph.jsx", "JavaScript JSX", 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 111
"/Users/kenny/Desktop/Haleys-Hope/src/components/Graph/GORT_5Graph.jsx", "JavaScript JSX", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 87
"/Users/kenny/Desktop/Haleys-Hope/src/components/Graph/OlderCtoppGraph.jsx", "JavaScript JSX", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 83
"/Users/kenny/Desktop/Haleys-Hope/src/components/Graph/WISTGraph.jsx", "JavaScript JSX", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 84
"/Users/kenny/Desktop/Haleys-Hope/src/components/InfoPage/InfoPage.jsx", "JavaScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/kenny/Desktop/Haleys-Hope/src/components/KteaList/KteaList.jsx", "JavaScript JSX", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 65
"/Users/kenny/Desktop/Haleys-Hope/src/components/LogOutButton/LogOutButton.jsx", "JavaScript JSX", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 20
"/Users/kenny/Desktop/Haleys-Hope/src/components/LoginForm/LoginForm.jsx", "JavaScript JSX", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 67
"/Users/kenny/Desktop/Haleys-Hope/src/components/LoginPage/LoginPage.jsx", "JavaScript JSX", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"/Users/kenny/Desktop/Haleys-Hope/src/components/ManageUsers/ManageUsers.jsx", "JavaScript JSX", 0, 298, 0, 0, 0, 0, 0, 0, 0, 0, 22, 20, 340
"/Users/kenny/Desktop/Haleys-Hope/src/components/Nav/Nav.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/kenny/Desktop/Haleys-Hope/src/components/Nav/Nav.jsx", "JavaScript JSX", 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 10, 11, 126
"/Users/kenny/Desktop/Haleys-Hope/src/components/ProtectedRoute/ProtectedRoute.jsx", "JavaScript JSX", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 15, 7, 42
"/Users/kenny/Desktop/Haleys-Hope/src/components/RegisterForm/RegisterForm.jsx", "JavaScript JSX", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 64
"/Users/kenny/Desktop/Haleys-Hope/src/components/RegisterPage/RegisterPage.jsx", "JavaScript JSX", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"/Users/kenny/Desktop/Haleys-Hope/src/components/StudentDetails/StudentDetails.jsx", "JavaScript JSX", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 95
"/Users/kenny/Desktop/Haleys-Hope/src/components/StudentList/StudentList.jsx", "JavaScript JSX", 0, 308, 0, 0, 0, 0, 0, 0, 0, 0, 11, 26, 345
"/Users/kenny/Desktop/Haleys-Hope/src/components/TemplateClass/TemplateClass.jsx", "JavaScript JSX", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 33
"/Users/kenny/Desktop/Haleys-Hope/src/components/TemplateFunction/TemplateFunction.jsx", "JavaScript JSX", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 21
"/Users/kenny/Desktop/Haleys-Hope/src/components/TestComparisons/GortComparison.jsx", "JavaScript JSX", 0, 224, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 242
"/Users/kenny/Desktop/Haleys-Hope/src/components/TestComparisons/OldCtoppComparison.jsx", "JavaScript JSX", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/kenny/Desktop/Haleys-Hope/src/components/TestResults/ElementaryWistResults.jsx", "JavaScript JSX", 0, 289, 0, 0, 0, 0, 0, 0, 0, 0, 13, 14, 316
"/Users/kenny/Desktop/Haleys-Hope/src/components/TestResults/GortResults.jsx", "JavaScript JSX", 0, 211, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 227
"/Users/kenny/Desktop/Haleys-Hope/src/components/TestResults/KteaResults.jsx", "JavaScript JSX", 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 175
"/Users/kenny/Desktop/Haleys-Hope/src/components/TestResults/OlderCtoppResults.jsx", "JavaScript JSX", 0, 291, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 308
"/Users/kenny/Desktop/Haleys-Hope/src/components/TestResults/SecondaryWistResults.jsx", "JavaScript JSX", 0, 367, 0, 0, 0, 0, 0, 0, 0, 0, 68, 14, 449
"/Users/kenny/Desktop/Haleys-Hope/src/components/TestResults/YoungerCtoppResults.jsx", "JavaScript JSX", 0, 299, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 312
"/Users/kenny/Desktop/Haleys-Hope/src/components/UserPage/UserPage.jsx", "JavaScript JSX", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 41
"/Users/kenny/Desktop/Haleys-Hope/src/components/WistList/ElementaryWistList.jsx", "JavaScript JSX", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 48
"/Users/kenny/Desktop/Haleys-Hope/src/components/WistList/SecondaryWistList.jsx", "JavaScript JSX", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 50
"/Users/kenny/Desktop/Haleys-Hope/src/components/WistTables/WistETable.jsx", "JavaScript JSX", 0, 418, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 430
"/Users/kenny/Desktop/Haleys-Hope/src/components/WistTables/WistSTable.jsx", "JavaScript JSX", 0, 270, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 276
"/Users/kenny/Desktop/Haleys-Hope/src/components/shared/AssesmentTab/AssesmentTab.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/kenny/Desktop/Haleys-Hope/src/components/shared/AssessmentTab/AssessmentTab.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/kenny/Desktop/Haleys-Hope/src/components/shared/CommentsTab/CommentsTab.jsx", "JavaScript JSX", 0, 226, 0, 0, 0, 0, 0, 0, 0, 0, 9, 18, 253
"/Users/kenny/Desktop/Haleys-Hope/src/components/shared/CompareTab/CompareTab.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/Users/kenny/Desktop/Haleys-Hope/src/components/shared/GraphTab/GraphTab.jsx", "JavaScript JSX", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 63
"/Users/kenny/Desktop/Haleys-Hope/src/components/shared/SearchBar.jsx", "JavaScript JSX", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 51
"/Users/kenny/Desktop/Haleys-Hope/src/components/shared/TestTab/TestTab.jsx", "JavaScript JSX", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"/Users/kenny/Desktop/Haleys-Hope/src/components/shared/Tests.jsx", "JavaScript JSX", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 48
